id colegio;Municipio;Distrito;Sección;Mesa;Desde;Hasta;Colegio electoral;Dirección
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;10;B;L;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | I.E.S. MEDINA ALBAIDA | CALLE POMARON HERRANZ 4;ZARAGOZA;2;12;A;A;K;I.E.S. MEDINA ALBAIDA;CALLE POMARON HERRANZ 4
ZARAGOZA | I.E.S. MEDINA ALBAIDA | CALLE POMARON HERRANZ 4;ZARAGOZA;2;12;B;L;Z;I.E.S. MEDINA ALBAIDA;CALLE POMARON HERRANZ 4
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;13;A;A;K;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;13;B;L;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | I.E.S. GOYA | AVDA GOYA 45;ZARAGOZA;2;14;A;A;K;I.E.S. GOYA;AVDA GOYA 45
ZARAGOZA | I.E.S. GOYA | AVDA GOYA 45;ZARAGOZA;2;14;B;L;Z;I.E.S. GOYA;AVDA GOYA 45
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;15;U;A;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | I.E.S. GOYA | AVDA GOYA 45;ZARAGOZA;2;17;U;A;Z;I.E.S. GOYA;AVDA GOYA 45
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;18;A;A;K;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;18;B;L;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;19;A;A;L;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;19;B;M;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | COLEGIO MONTESSORI | CALLE LAGASCA 25;ZARAGOZA;2;20;A;A;K;COLEGIO MONTESSORI;CALLE LAGASCA 25
ZARAGOZA | COLEGIO MONTESSORI | CALLE LAGASCA 25;ZARAGOZA;2;20;B;L;Z;COLEGIO MONTESSORI;CALLE LAGASCA 25
ZARAGOZA | I.E.S. GOYA | AVDA GOYA 45;ZARAGOZA;2;21;U;A;Z;I.E.S. GOYA;AVDA GOYA 45
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;22;A;A;L;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;22;B;M;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | COLEGIO MONTESSORI | CALLE LAGASCA 25;ZARAGOZA;2;23;A;A;K;COLEGIO MONTESSORI;CALLE LAGASCA 25
ZARAGOZA | COLEGIO MONTESSORI | CALLE LAGASCA 25;ZARAGOZA;2;23;B;L;Z;COLEGIO MONTESSORI;CALLE LAGASCA 25
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;24;U;A;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;25;A;A;K;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;25;B;L;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | C.E.I.P. GASCON Y MARIN | PLAZA SITIOS (LOS) 4;ZARAGOZA;2;26;A;A;K;C.E.I.P. GASCON Y MARIN;PLAZA SITIOS (LOS) 4
ZARAGOZA | C.E.I.P. GASCON Y MARIN | PLAZA SITIOS (LOS) 4;ZARAGOZA;2;26;B;L;Z;C.E.I.P. GASCON Y MARIN;PLAZA SITIOS (LOS) 4
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;27;U;A;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;28;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;29;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;30;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;31;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;32;A;A;K;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;32;B;L;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;33;A;A;L;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | FACULTAD DE ECONOMIA Y EMPRESA | CALLE DOCTOR CERRADA 1;ZARAGOZA;2;33;B;M;Z;FACULTAD DE ECONOMIA Y EMPRESA;CALLE DOCTOR CERRADA 1
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;35;A;A;K;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;35;B;L;Z;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;36;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;37;A;A;K;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;37;B;L;Z;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;38;A;A;K;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | COLEGIO SAN AGUSTIN | CMNO TORRES (LAS) 79;ZARAGOZA;2;38;B;L;Z;COLEGIO SAN AGUSTIN;CMNO TORRES (LAS) 79
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;40;A;A;K;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;40;B;L;Z;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | COLEGIO CANTIN Y GAMBOA | CALLE MORET 4;ZARAGOZA;2;42;U;A;Z;COLEGIO CANTIN Y GAMBOA;CALLE MORET 4
ZARAGOZA | I.E.S. MEDINA ALBAIDA | CALLE POMARON HERRANZ 4;ZARAGOZA;2;45;A;A;K;I.E.S. MEDINA ALBAIDA;CALLE POMARON HERRANZ 4
ZARAGOZA | I.E.S. MEDINA ALBAIDA | CALLE POMARON HERRANZ 4;ZARAGOZA;2;45;B;L;Z;I.E.S. MEDINA ALBAIDA;CALLE POMARON HERRANZ 4
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;46;A;A;K;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;46;B;L;Z;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;47;U;A;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;48;U;A;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;2;49;U;A;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. MIRAFLORES | PQUE MIRAFLORES 1;ZARAGOZA;2;50;A;A;K;C.E.I.P. MIRAFLORES;PQUE MIRAFLORES 1
ZARAGOZA | C.E.I.P. MIRAFLORES | PQUE MIRAFLORES 1;ZARAGOZA;2;50;B;L;Z;C.E.I.P. MIRAFLORES;PQUE MIRAFLORES 1
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;51;A;A;L;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | C.E.I.P. SAN JOSE DE CALASANZ | CALLE EDUARDO HERNAZ 43;ZARAGOZA;2;51;B;M;Z;C.E.I.P. SAN JOSE DE CALASANZ;CALLE EDUARDO HERNAZ 43
ZARAGOZA | C.E.I.P. MIRAFLORES | PQUE MIRAFLORES 1;ZARAGOZA;2;52;U;A;Z;C.E.I.P. MIRAFLORES;PQUE MIRAFLORES 1
ZARAGOZA | C.E.I.P. MIRAFLORES | PQUE MIRAFLORES 1;ZARAGOZA;2;53;A;A;K;C.E.I.P. MIRAFLORES;PQUE MIRAFLORES 1
ZARAGOZA | C.E.I.P. MIRAFLORES | PQUE MIRAFLORES 1;ZARAGOZA;2;53;B;L;Z;C.E.I.P. MIRAFLORES;PQUE MIRAFLORES 1
ZARAGOZA | I.E.S. RAMON Y CAJAL | CALLE RAMON PIGNATELLI 102;ZARAGOZA;3;1;U;A;Z;I.E.S. RAMON Y CAJAL;CALLE RAMON PIGNATELLI 102
ZARAGOZA | C.E.I.P. JOAQUIN COSTA | PASEO MARIA AGUSTIN 41;ZARAGOZA;3;2;U;A;Z;C.E.I.P. JOAQUIN COSTA;PASEO MARIA AGUSTIN 41
ZARAGOZA | C.E.I.P. ALJAFERÍA | CALLE JUAN XXIII 2;ZARAGOZA;3;3;A;A;K;C.E.I.P. ALJAFERÍA;CALLE JUAN XXIII 2
ZARAGOZA | C.E.I.P. ALJAFERÍA | CALLE JUAN XXIII 2;ZARAGOZA;3;3;B;L;Z;C.E.I.P. ALJAFERÍA;CALLE JUAN XXIII 2
ZARAGOZA | C.E.I.P. ALJAFERÍA | CALLE JUAN XXIII 2;ZARAGOZA;3;4;A;A;K;C.E.I.P. ALJAFERÍA;CALLE JUAN XXIII 2
ZARAGOZA | C.E.I.P. ALJAFERÍA | CALLE JUAN XXIII 2;ZARAGOZA;3;4;B;L;Z;C.E.I.P. ALJAFERÍA;CALLE JUAN XXIII 2
ZARAGOZA | ESPACIO JÓVEN BALTASAR GRACIÁN | CALLE FRANCO Y LOPEZ 4;ZARAGOZA;3;5;A;A;K;ESPACIO JÓVEN BALTASAR GRACIÁN;CALLE FRANCO Y LOPEZ 4
ZARAGOZA | ESPACIO JÓVEN BALTASAR GRACIÁN | CALLE FRANCO Y LOPEZ 4;ZARAGOZA;3;5;B;L;Z;ESPACIO JÓVEN BALTASAR GRACIÁN;CALLE FRANCO Y LOPEZ 4
ZARAGOZA | COLEGIO HIJAS DE SAN JOSE | CALLE DUQUESA VILLAHERMOSA 16;ZARAGOZA;3;7;U;A;Z;COLEGIO HIJAS DE SAN JOSE;CALLE DUQUESA VILLAHERMOSA 16
ZARAGOZA | C.E.I.P. RECARTE Y ORNAT | AVDA SAN JUAN BOSCO 7;ZARAGOZA;3;8;A;A;K;C.E.I.P. RECARTE Y ORNAT;AVDA SAN JUAN BOSCO 7
ZARAGOZA | C.E.I.P. RECARTE Y ORNAT | AVDA SAN JUAN BOSCO 7;ZARAGOZA;3;8;B;L;Z;C.E.I.P. RECARTE Y ORNAT;AVDA SAN JUAN BOSCO 7
